title,course_link,instructor,rating,price,description,level,skills
HTML+CSS+JS 포트폴리오 실전 퍼블리싱(시즌2),https://www.inflearn.com/course/웹-퍼블리싱-실전-시즌2,코딩웍스(Coding Works),0,56100,"자바스크립트를 이용해서 모바일 앱을 만들 수 있는, 리액트 네이티브 입문자를 위한 강의입니다. 
리액트 네이티브를 개발할때 필요한 기초 지식을 익히고, 간단한 프로젝트를 진행합니다.",초급," React Native, 모바일 앱 개발, JavaScript"
[리뉴얼] 렛츠기릿 자바스크립트,https://www.inflearn.com/course/레츠기릿-자바스크립트,조현영,100,0,애플 웹사이트에 자주 등장하는 고급 인터랙션 효과들을 처음부터 직접 개발하는 방법을 배울 수 있습니다.,중급이상," 인터랙티브 웹, 클론코딩, JavaScript"
코딩인터뷰를 저격하는 JS 스나이퍼 양성학교,https://www.inflearn.com/course/코딩인터뷰-js-양성학교,The Oreum,93,38500,"본 강의에서는 자바스크립트를 활용해 프로그래밍 사고력을 기르는 연습을 합니다. 웹 게임인 구구단을 시작으로 끝말잇기, 숫자 야구, 반응 속도 테스트, 틱택토, 로또 추첨기, 가위바위보, 카드 짝맞추기 게임, 텍스트 RPG, 지뢰 찾기, 2048게임, 두더지 잡기까지 함께 만들어봅시다.",초급," JavaScript, 게임개발"
Do It! 장고+부트스트랩: 파이썬 웹개발의 정석,https://www.inflearn.com/course/두잇-파이썬-웹개발,SungYong Lee,100,132000,자바스크립트(JavaScript)로 코딩테스트를 준비하시는 분을 위한 강좌입니다. 재미있게 풀 수 있는 기초 단계 문제부터 고급 알고리즘까지 단계별로 차근차근 배우도록 설계된 강좌입니다.,초급," 알고리즘, JavaScript, 코딩 테스트"
Google Sheets로 만드는 마크다운 스티커 메모,https://www.inflearn.com/course/구글시트-마크다운-스티커메모,제주코딩베이스캠프,0,27500,"왕초보도 할 수 있는 웹, 서버, 모바일 앱, 머신러닝까지 익히는 끝판왕 풀스택 강의입니다.
개발을 어디서부터 시작할지 막막했다면 이 강의를 강력 추천할게요. Javascript 하나로 진행합니다!",입문," JavaScript, React, Node.js"
얄코의 반응형 프로그래밍 - 자바스크립트로 쉽게 배우는 ReactiveX,https://www.inflearn.com/course/얄코-자바스크립트-reactivex,얄팍한 코딩사전,100,29700,"처음으로 프로그래밍을 시작하는 분들을 위한 웹 개발 입문 강의입니다. HTML, CSS, Javascript를 배우고 인스타그램 포스팅 카드를 만들어봄으로써 웹페이지 제작에 꼭 필요한 기본적인 내용들을 학습합니다.",입문," HTML/CSS, JavaScript, 웹 개발"
<1만 시간의 법칙> 웹 페이지 제작하기,https://www.inflearn.com/course/1만시간-웹페이지-제작,제주코딩베이스캠프,96,0,"⚡ 짧고 굵은 전체 160분 강좌!  웹사이트에서 웹사이트로 코드를 복붙하며, ReactiveX를 통한 반응형 프로그래밍을 익히세요 😎",초급," RxJS, JavaScript, 함수형 프로그래밍"
JavaScript로 배우는 fullPage + anime + SVG Animation 포트폴리오,https://www.inflearn.com/course/인터랙티브-웹-포트폴리오,LIZ.B,73,66000,"자바스크립트를 제대로 배우길 원하는 초급자를 위한 가장 탄탄한 기초 강의입니다. 여러분은 이 강의를 통해 자바스크립트라는 언어를 이해하는 시작점이 될 것이고, 프론트엔드(Vue, React, Angular) 개발자, 서버(Node.js) 개발자가 되기 위한 기초를 완벽하게 준비할 수 있습니다.",초급," JavaScript, ES6, HTML/CSS"
jQuery 입문자를 위한 강의,https://www.inflearn.com/course/제이쿼리-입문,JeongTaeHyun,0,27500,"mongoDB, NoSQL 요즘 많이 들리지만 아직은 낯선 데이터베이스인가요? 관계형 데이터베이스(RDS/SQL)처럼 사용하고 계시지는 않으신가요? 아무리 좋은 기술도 올바르게 사용하지 않으면 역효과가 발생합니다. 그래서 몽고디비 사용 실패 사례도 종종 보이는데요. 이 강의는 mongoDB를 최대한 mongoDB스럽게 사용할 수 있도록 기본 개념부터 실무 노하우까지 가르쳐드려요.",초급," MongoDB, Back-End, REST API"
자바스크립트 제대로 배워볼래?,https://www.inflearn.com/course/자바스크립트-제대로-배워보기,개발자의 품격,100,77000,타입스크립트를 시작하는 분들을 위한 강의입니다. 최신 자바스크립트 문법을 모르는 분들도 쉽게 배울 수 있도록 교과 과정을 구성하였습니다. 어렵게만 느껴지는 타입스크립트를 입문자 관점에서 쉽고 재밌게 배워보겠습니다 😄,초급," TypeScript, Front-End, ES6"
